model,sample_size,cumulative_fit_time_s,median_accuracy
LogisticRegression,300,0.010676383972167969,0.7666666666666667
LogisticRegression,800,0.021419525146484375,0.7683333333333333
LogisticRegression,1300,0.03359866142272949,0.7708333333333334
LogisticRegression,1800,0.05053281784057617,0.78
LogisticRegression,2300,0.06982135772705078,0.7791666666666667
LogisticRegression,2800,0.08576226234436035,0.7783333333333333
LogisticRegression,3300,0.10038042068481445,0.7766666666666666
LogisticRegression,3800,0.11366939544677734,0.7775
LogisticRegression,4300,0.12795352935791016,0.7816666666666666
LogisticRegression,4800,0.14545750617980957,0.78
RandomForest,300,0.5606091022491455,0.83
RandomForest,800,1.3230712413787842,0.895
RandomForest,1300,2.307539701461792,0.9116666666666666
RandomForest,1800,3.79947829246521,0.9216666666666666
RandomForest,2300,5.667566299438477,0.9291666666666667
RandomForest,2800,7.9193031787872314,0.9291666666666667
RandomForest,3300,10.398568391799927,0.9316666666666666
RandomForest,3800,13.30871844291687,0.9375
RandomForest,4300,16.64808440208435,0.9391666666666667
RandomForest,4800,20.37785816192627,0.9375
LinearSVM,300,0.001996278762817383,0.7708333333333334
LinearSVM,800,0.004504203796386719,0.77
LinearSVM,1300,0.007636547088623047,0.7733333333333333
LinearSVM,1800,0.011434793472290039,0.78
LinearSVM,2300,0.016627073287963867,0.7766666666666666
LinearSVM,2800,0.02278590202331543,0.7783333333333333
LinearSVM,3300,0.030341148376464844,0.78
LinearSVM,3800,0.03961181640625,0.7816666666666666
LinearSVM,4300,0.04976797103881836,0.7808333333333334
LinearSVM,4800,0.06002187728881836,0.7791666666666667
XGBoost,300,0.18213486671447754,0.835
XGBoost,800,0.5372445583343506,0.9041666666666667
XGBoost,1300,0.9951765537261963,0.9291666666666667
XGBoost,1800,1.5737411975860596,0.9383333333333334
XGBoost,2300,2.2172505855560303,0.9466666666666667
XGBoost,2800,3.093843936920166,0.9516666666666667
XGBoost,3300,4.013311147689819,0.9483333333333334
XGBoost,3800,5.213274240493774,0.96
XGBoost,4300,6.907199859619141,0.9608333333333333
XGBoost,4800,8.675736904144287,0.96
LightGBM,300,0.2040717601776123,0.845
LightGBM,800,1.0489544868469238,0.8966666666666666
LightGBM,1300,2.0052103996276855,0.9258333333333333
LightGBM,1800,3.219236373901367,0.9433333333333334
LightGBM,2300,4.562724351882935,0.9433333333333334
LightGBM,2800,5.870124101638794,0.955
LightGBM,3300,7.065883159637451,0.955
LightGBM,3800,8.268401384353638,0.9591666666666666
LightGBM,4300,9.54314374923706,0.9591666666666666
LightGBM,4800,10.845080375671387,0.9608333333333333
CatBoost,300,2.7141952514648438,0.8575
CatBoost,800,5.154740333557129,0.9133333333333333
CatBoost,1300,8.068426132202148,0.9425
CatBoost,1800,10.757238864898682,0.9508333333333333
CatBoost,2300,13.065622806549072,0.955
CatBoost,2800,16.255823850631714,0.96
CatBoost,3300,20.397619485855103,0.9633333333333334
CatBoost,3800,23.41812777519226,0.9616666666666667
CatBoost,4300,26.720668077468872,0.9666666666666667
CatBoost,4800,29.872732639312744,0.9633333333333334
