iter	Passed	Remaining
0	4	2236
1	8	2110
2	12	2012
3	15	1969
4	19	1937
5	23	1918
6	27	1933
7	31	1946
8	35	1937
9	39	1946
10	43	1955
11	47	1950
12	51	1937
13	55	1934
14	59	1938
15	64	1942
16	67	1928
17	71	1926
18	75	1922
19	79	1911
20	83	1900
21	87	1893
22	91	1901
23	95	1898
24	99	1889
25	103	1888
26	107	1883
27	111	1875
28	114	1866
29	118	1861
30	123	1864
31	126	1857
32	130	1848
33	134	1843
34	138	1836
35	141	1829
36	145	1823
37	149	1817
38	154	1823
39	158	1818
40	161	1812
41	165	1806
42	170	1807
43	173	1800
44	177	1793
45	181	1786
46	185	1790
47	189	1784
48	193	1779
49	197	1778
50	202	1779
51	205	1773
52	209	1767
53	213	1764
54	218	1764
55	222	1761
56	225	1756
57	230	1753
58	234	1749
59	237	1743
60	241	1736
61	245	1734
62	249	1731
63	253	1725
64	256	1719
65	260	1715
66	265	1714
67	269	1709
68	272	1704
69	277	1703
70	281	1701
71	285	1695
72	289	1693
73	293	1691
74	298	1689
75	301	1684
76	306	1685
77	311	1685
78	315	1683
79	320	1682
80	324	1680
81	329	1677
82	332	1673
83	337	1671
84	341	1667
85	345	1663
86	349	1658
87	353	1653
88	356	1648
89	361	1646
90	365	1641
91	369	1636
92	372	1631
93	377	1628
94	380	1623
95	384	1619
96	388	1614
97	392	1610
98	396	1606
99	400	1600
100	403	1595
101	408	1592
102	413	1592
103	416	1587
104	420	1582
105	424	1579
106	428	1575
107	432	1569
108	436	1564
109	440	1561
110	444	1558
111	448	1553
112	452	1548
113	456	1545
114	460	1540
115	463	1535
116	467	1530
117	471	1527
118	476	1524
119	479	1519
120	483	1514
121	487	1511
122	492	1508
123	496	1505
124	501	1504
125	506	1502
126	510	1498
127	514	1494
128	519	1493
129	524	1492
130	528	1488
131	532	1484
132	537	1481
133	540	1476
134	544	1472
135	549	1469
136	553	1465
137	557	1462
138	561	1458
139	566	1457
140	570	1453
141	575	1450
142	580	1448
143	584	1444
144	588	1441
145	593	1438
146	598	1436
147	602	1433
148	607	1430
149	611	1427
150	617	1426
151	621	1422
152	626	1420
153	630	1417
154	634	1413
155	639	1409
156	643	1405
157	648	1402
158	652	1398
159	656	1395
160	661	1392
161	665	1388
162	670	1385
163	674	1381
164	679	1378
165	683	1374
166	687	1371
167	691	1367
168	696	1364
169	700	1360
170	705	1356
171	709	1353
172	714	1350
173	718	1346
174	722	1341
175	726	1337
176	730	1333
177	734	1329
178	738	1324
179	742	1320
180	747	1316
181	750	1311
182	754	1307
183	758	1302
184	762	1298
185	766	1293
186	769	1288
187	774	1285
188	778	1280
189	781	1275
190	785	1270
191	790	1268
192	795	1264
193	799	1261
194	804	1257
195	808	1253
196	811	1248
197	815	1243
198	818	1238
199	822	1234
200	826	1229
201	830	1224
202	834	1220
203	838	1217
204	842	1212
205	846	1207
206	850	1203
207	854	1199
208	857	1194
209	861	1189
210	865	1186
211	870	1181
212	873	1177
213	877	1172
214	881	1168
215	885	1164
216	889	1159
217	893	1155
218	897	1151
219	901	1147
220	905	1143
221	909	1138
222	913	1134
223	917	1130
224	920	1125
225	924	1121
226	929	1117
227	933	1113
228	937	1109
229	941	1105
230	945	1101
231	949	1097
232	953	1092
233	957	1088
234	961	1084
235	965	1080
236	969	1075
237	972	1070
238	976	1066
239	980	1062
240	984	1057
241	988	1054
242	992	1049
243	996	1045
244	1000	1040
245	1003	1036
246	1007	1032
247	1011	1027
248	1015	1023
249	1019	1019
250	1023	1014
251	1027	1010
252	1030	1006
253	1034	1001
254	1038	997
255	1042	993
256	1046	989
257	1050	985
258	1054	981
259	1058	977
260	1062	973
261	1066	969
262	1070	964
263	1074	960
264	1078	956
265	1082	952
266	1086	947
267	1090	943
268	1094	939
269	1098	935
270	1101	930
271	1105	926
272	1109	922
273	1113	918
274	1117	914
275	1121	910
276	1125	905
277	1129	901
278	1132	897
279	1136	893
280	1141	889
281	1144	885
282	1148	880
283	1152	876
284	1156	872
285	1160	868
286	1163	863
287	1167	859
288	1172	856
289	1176	852
290	1180	847
291	1184	843
292	1188	839
293	1192	835
294	1195	831
295	1199	826
296	1204	823
297	1208	819
298	1211	814
299	1215	810
300	1220	806
301	1223	802
302	1227	798
303	1231	794
304	1235	790
305	1239	785
306	1243	781
307	1247	777
308	1251	773
309	1255	769
310	1258	764
311	1263	761
312	1267	757
313	1271	752
314	1274	748
315	1278	744
316	1282	740
317	1286	736
318	1290	732
319	1294	728
320	1298	724
321	1302	719
322	1306	715
323	1309	711
324	1314	707
325	1317	703
326	1322	699
327	1326	695
328	1330	691
329	1334	687
330	1338	683
331	1341	679
332	1346	675
333	1350	671
334	1353	666
335	1357	662
336	1361	658
337	1365	654
338	1369	650
339	1373	646
340	1377	642
341	1381	638
342	1385	633
343	1388	629
344	1392	625
345	1396	621
346	1400	617
347	1404	613
348	1408	609
349	1412	605
350	1416	601
351	1419	597
352	1423	592
353	1428	589
354	1432	585
355	1436	580
356	1439	576
357	1443	572
358	1447	568
359	1450	564
360	1454	560
361	1459	556
362	1463	552
363	1466	548
364	1470	543
365	1475	540
366	1478	535
367	1482	531
368	1486	527
369	1490	523
370	1494	519
371	1498	515
372	1501	511
373	1506	507
374	1510	503
375	1513	499
376	1517	495
377	1522	491
378	1525	487
379	1529	482
380	1533	478
381	1537	474
382	1541	470
383	1545	466
384	1549	462
385	1554	458
386	1557	454
387	1561	450
388	1565	446
389	1569	442
390	1573	438
391	1577	434
392	1583	431
393	1587	427
394	1592	423
395	1596	419
396	1600	415
397	1604	411
398	1608	407
399	1612	403
400	1615	398
401	1619	394
402	1623	390
403	1627	386
404	1631	382
405	1635	378
406	1638	374
407	1643	370
408	1646	366
409	1651	362
410	1654	358
411	1658	354
412	1661	350
413	1666	346
414	1670	342
415	1674	338
416	1677	333
417	1682	329
418	1686	326
419	1690	321
420	1694	317
421	1698	313
422	1702	309
423	1705	305
424	1709	301
425	1713	297
426	1717	293
427	1721	289
428	1725	285
429	1729	281
430	1733	277
431	1737	273
432	1740	269
433	1744	265
434	1749	261
435	1754	257
436	1758	253
437	1762	249
438	1767	245
439	1773	241
440	1778	237
