Model,Mean Normalized,,,,,,,,,,Mean,,,,,,,,,,Wins,,,,,,,,,,Mean,
,Raw,,,,,Processed,,,,,Raw,,,,,Processed,,,,,Raw,,,,,Processed,,,,,Raw,Processed
,ROC,Accuracy,F1,CE,ECE,ROC,Accuracy,F1,CE,ECE,ROC,Accuracy,F1,CE,ECE,ROC,Accuracy,F1,CE,ECE,ROC,Accuracy,F1,CE,ECE,ROC,Accuracy,F1,CE,ECE,Time,Time
AutoGluon,0.971 ± 0.05,0.958 ± 0.03,0.958 ± 0.02,0.777 ± 0.32,0.63 ± 0.24,0.966 ± 0.05,0.961 ± 0.03,0.963 ± 0.02,0.778 ± 0.31,0.901 ± 0.12,0.849 ± 0.12,0.814 ± 0.15,0.812 ± 0.14,0.423 ± 0.28,0.364 ± 0.3,0.845 ± 0.12,0.813 ± 0.15,0.813 ± 0.14,0.422 ± 0.28,0.364 ± 0.3,1,0,0,0,3,1,0,0,0,0,15.478 ± 10.07,16.309 ± 10.23
AutoTabPFN,0.993 ± 0.01,0.98 ± 0.03,0.986 ± 0.02,0.858 ± 0.31,0.624 ± 0.26,0.994 ± 0.01,0.979 ± 0.03,0.988 ± 0.01,0.961 ± 0.05,0.831 ± 0.1,0.866 ± 0.09,0.831 ± 0.14,0.834 ± 0.13,0.389 ± 0.28,0.377 ± 0.31,0.867 ± 0.09,0.828 ± 0.15,0.833 ± 0.14,0.379 ± 0.29,0.376 ± 0.3,3,2,2,1,0,3,3,3,2,0,291.358 ± 291.82,292.512 ± 288.35
CatBoost,0.975 ± 0.03,0.982 ± 0.02,0.971 ± 0.03,0.794 ± 0.3,0.552 ± 0.3,0.974 ± 0.03,0.987 ± 0.02,0.976 ± 0.03,0.798 ± 0.28,0.726 ± 0.2,0.851 ± 0.11,0.834 ± 0.15,0.825 ± 0.15,0.425 ± 0.33,0.392 ± 0.28,0.851 ± 0.11,0.834 ± 0.15,0.825 ± 0.15,0.425 ± 0.33,0.392 ± 0.28,0,3,3,1,0,0,3,3,1,0,1.557 ± 0.84,1.537 ± 0.78
LightGBM,0.959 ± 0.06,0.963 ± 0.05,0.964 ± 0.03,0.701 ± 0.26,0.613 ± 0.32,0.958 ± 0.06,0.967 ± 0.06,0.966 ± 0.04,0.721 ± 0.19,0.782 ± 0.21,0.839 ± 0.12,0.817 ± 0.15,0.816 ± 0.13,0.471 ± 0.32,0.391 ± 0.3,0.839 ± 0.13,0.817 ± 0.15,0.814 ± 0.13,0.471 ± 0.33,0.392 ± 0.3,2,2,2,0,1,0,1,1,0,1,0.087 ± 0.05,0.091 ± 0.06
LogisticRegression,0.933 ± 0.05,0.919 ± 0.07,0.839 ± 0.24,0.695 ± 0.4,0.639 ± 0.29,0.941 ± 0.05,0.922 ± 0.07,0.842 ± 0.23,0.698 ± 0.39,0.856 ± 0.2,0.811 ± 0.07,0.776 ± 0.12,0.706 ± 0.22,0.505 ± 0.22,0.348 ± 0.26,0.818 ± 0.07,0.775 ± 0.12,0.704 ± 0.22,0.502 ± 0.22,0.347 ± 0.26,0,0,0,0,2,0,1,1,0,0,2.869 ± 2.09,0.041 ± 0.03
MLP,0.894 ± 0.07,0.888 ± 0.07,0.769 ± 0.29,0.545 ± 0.35,0.573 ± 0.26,0.979 ± 0.02,0.955 ± 0.01,0.925 ± 0.07,0.672 ± 0.31,0.782 ± 0.22,0.776 ± 0.07,0.746 ± 0.09,0.639 ± 0.24,0.627 ± 0.13,0.375 ± 0.28,0.854 ± 0.09,0.806 ± 0.13,0.779 ± 0.14,0.471 ± 0.27,0.387 ± 0.28,1,0,0,1,0,0,0,0,0,0,0.487 ± 0.33,1.775 ± 1.9
RandomForest,0.961 ± 0.06,0.954 ± 0.06,0.948 ± 0.06,0.625 ± 0.24,0.595 ± 0.32,0.959 ± 0.06,0.957 ± 0.05,0.952 ± 0.06,0.63 ± 0.22,0.778 ± 0.18,0.841 ± 0.13,0.813 ± 0.17,0.808 ± 0.16,0.546 ± 0.4,0.377 ± 0.28,0.84 ± 0.13,0.813 ± 0.17,0.809 ± 0.17,0.547 ± 0.4,0.378 ± 0.29,1,2,2,0,0,1,1,1,0,0,0.609 ± 0.65,0.61 ± 0.67
SVM,0.81 ± 0.13,0.863 ± 0.09,0.697 ± 0.36,0.596 ± 0.34,0.891 ± 0.17,0.96 ± 0.04,0.95 ± 0.03,0.914 ± 0.09,0.738 ± 0.35,0.806 ± 0.13,0.701 ± 0.11,0.726 ± 0.11,0.587 ± 0.33,0.591 ± 0.19,0.282 ± 0.26,0.839 ± 0.11,0.8 ± 0.12,0.768 ± 0.14,0.45 ± 0.26,0.363 ± 0.28,0,0,0,0,0,0,0,0,0,4,0.325 ± 0.5,0.273 ± 0.42
TabPFN,0.997 ± 0.01,0.98 ± 0.03,0.984 ± 0.02,0.989 ± 0.02,0.685 ± 0.32,0.995 ± 0.01,0.982 ± 0.03,0.985 ± 0.01,0.984 ± 0.03,0.834 ± 0.14,0.869 ± 0.09,0.832 ± 0.15,0.835 ± 0.14,0.377 ± 0.29,0.372 ± 0.31,0.868 ± 0.09,0.83 ± 0.15,0.831 ± 0.14,0.379 ± 0.29,0.376 ± 0.3,1,1,1,3,0,3,1,1,3,1,0.283 ± 0.13,2.074 ± 0.27
XGBoost,0.981 ± 0.02,0.975 ± 0.02,0.969 ± 0.02,0.639 ± 0.26,0.491 ± 0.31,0.98 ± 0.02,0.98 ± 0.02,0.975 ± 0.01,0.646 ± 0.24,0.674 ± 0.23,0.877 ± 0.09,0.835 ± 0.16,0.815 ± 0.15,0.469 ± 0.38,0.451 ± 0.29,0.877 ± 0.09,0.835 ± 0.16,0.815 ± 0.15,0.469 ± 0.38,0.451 ± 0.29,0,1,1,0,0,0,1,1,0,0,0.076 ± 0.04,0.078 ± 0.04
