Model,Processed|Accuracy,Processed|CE,Processed|ECE,Processed|F1,Processed|ROC_AUC,Processed|Time_(s),Raw|Accuracy,Raw|CE,Raw|ECE,Raw|F1,Raw|ROC_AUC,Raw|Time_(s)
AutoGluon,0.813 ± 0.15,0.422 ± 0.28,0.364 ± 0.3,0.813 ± 0.14,0.845 ± 0.12,16.309 ± 10.23,0.814 ± 0.15,0.423 ± 0.28,0.364 ± 0.3,0.812 ± 0.14,0.849 ± 0.12,15.478 ± 10.07
AutoTabPFN,0.828 ± 0.15,0.379 ± 0.29,0.376 ± 0.3,0.833 ± 0.14,0.867 ± 0.09,292.512 ± 288.35,0.831 ± 0.14,0.389 ± 0.28,0.377 ± 0.31,0.834 ± 0.13,0.866 ± 0.09,291.358 ± 291.82
CatBoost,0.834 ± 0.15,0.425 ± 0.33,0.392 ± 0.28,0.825 ± 0.15,0.851 ± 0.11,1.537 ± 0.78,0.834 ± 0.15,0.425 ± 0.33,0.392 ± 0.28,0.825 ± 0.15,0.851 ± 0.11,1.557 ± 0.84
LightGBM,0.817 ± 0.15,0.471 ± 0.33,0.392 ± 0.3,0.814 ± 0.13,0.839 ± 0.13,0.091 ± 0.06,0.817 ± 0.15,0.471 ± 0.32,0.391 ± 0.3,0.816 ± 0.13,0.839 ± 0.12,0.087 ± 0.05
LogisticRegression,0.775 ± 0.12,0.502 ± 0.22,0.347 ± 0.26,0.704 ± 0.22,0.818 ± 0.07,0.041 ± 0.03,0.776 ± 0.12,0.505 ± 0.22,0.348 ± 0.26,0.706 ± 0.22,0.811 ± 0.07,2.869 ± 2.09
MLP,0.806 ± 0.13,0.471 ± 0.27,0.387 ± 0.28,0.779 ± 0.14,0.854 ± 0.09,1.775 ± 1.9,0.746 ± 0.09,0.627 ± 0.13,0.375 ± 0.28,0.639 ± 0.24,0.776 ± 0.07,0.487 ± 0.33
RandomForest,0.813 ± 0.17,0.547 ± 0.4,0.378 ± 0.29,0.809 ± 0.17,0.84 ± 0.13,0.61 ± 0.67,0.813 ± 0.17,0.546 ± 0.4,0.377 ± 0.28,0.808 ± 0.16,0.841 ± 0.13,0.609 ± 0.65
SVM,0.8 ± 0.12,0.45 ± 0.26,0.363 ± 0.28,0.768 ± 0.14,0.839 ± 0.11,0.273 ± 0.42,0.726 ± 0.11,0.591 ± 0.19,0.282 ± 0.26,0.587 ± 0.33,0.701 ± 0.11,0.325 ± 0.5
TabPFN,0.83 ± 0.15,0.379 ± 0.29,0.376 ± 0.3,0.831 ± 0.14,0.868 ± 0.09,2.074 ± 0.27,0.832 ± 0.15,0.377 ± 0.29,0.372 ± 0.31,0.835 ± 0.14,0.869 ± 0.09,0.283 ± 0.13
XGBoost,0.835 ± 0.16,0.469 ± 0.38,0.451 ± 0.29,0.815 ± 0.15,0.877 ± 0.09,0.078 ± 0.04,0.835 ± 0.16,0.469 ± 0.38,0.451 ± 0.29,0.815 ± 0.15,0.877 ± 0.09,0.076 ± 0.04
