,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.9852005334236852,0.9958960328317373,0.9940290178571429,0.8998709002563753,0.8871225373671103,0.9158247526751464,0.8771084337349397,0.734375,0.31163433867807167,0.6730661718771488,0,0,0,0,0,17.169429779052734,0.9935470966283144,0.9904502046384721,0.9777891972136578,0.9504653620413936,0.9734415051666373,0.9226327478295983,0.8746987951807229,0.7248677248677249,0.29389640572814335,0.6493728720923633,0,0,0,0,0,18.006762266159058
AutoTabPFN,0.9983884349574954,0.9808481532147744,0.9251300520208083,0.9903241486642481,0.936242505284474,0.9280839895013123,0.863855421686747,0.6834733893557423,0.2831705894229502,0.6377537516630902,0,0,0,0,0,1130.888004541397,0.9983302460278117,0.9809004092769441,0.9318450532053466,0.9699588569767796,0.9916567195699767,0.9270745003028468,0.8662650602409638,0.6908077994428969,0.28798989943111714,0.6374448874788934,0,0,0,0,0,1126.624966621399
CatBoost,0.9977542341590975,1.0,1.0,0.9968595692199074,0.9195981637324682,0.9274944478094085,0.880722891566265,0.7387862796833773,0.2813141204196771,0.6492968274187761,0,1,1,0,0,1.94140625,1.0,1.0,1.0,1.0,0.9698919335383265,0.92862507571169,0.8831325301204819,0.7413333333333333,0.2793383536730641,0.6517494209049354,1,1,1,1,0,1.9129233360290527
LightGBM,0.9907606500123798,0.9794801641586868,0.94962602842184,0.9463541702145589,0.9018599052179328,0.9209933373712901,0.8626506024096385,0.7015706806282722,0.2963274022805403,0.6620675414851019,0,0,0,0,0,0.08484745025634766,0.9861375633767294,0.984993178717599,0.9695368705035972,0.9117849173266787,0.9553584332725279,0.9157520694528568,0.8698795180722891,0.71875,0.30636430627968086,0.6616642340808755,0,0,0,0,0,0.11459541320800781
LogisticRegression,0.9871552619118982,0.9740082079343366,0.9049157303370786,0.9134938943766187,0.9465318292212318,0.9176418332323845,0.8578313253012049,0.6685393258426966,0.30698691542805157,0.6308210160274137,0,0,0,0,0,4.542756795883179,,,,,,,,,,,0,0,0,0,0,
MLP,0.9541073189378438,0.9384404924760602,0.6950772200772201,0.6937446341076223,0.8850031415563897,0.88692105794468,0.8265060240963855,0.5135135135135135,0.4042275199112136,0.6746780233588345,0,0,0,0,0,0.8827972412109375,,,,,,,,,,,0,0,0,0,0,
RandomForest,0.9852396279934493,0.982216142270862,0.9438416988416989,0.9210668880942582,0.9430222846949631,0.9158610942862911,0.8650602409638555,0.6972972972972973,0.3044628750874588,0.6331686746986723,0,0,0,0,0,0.7343940734863281,0.9859897205771087,0.9768076398362893,0.9333074081275521,0.9159389323134473,1.0,0.9156147789218655,0.8626506024096385,0.6918918918918919,0.30497486657491546,0.6321265060239724,0,0,0,0,1,0.743556022644043
SVM,0.900026497430618,0.9220246238030095,0.5476281352235551,0.6905176342556999,1.0,0.8366484958610944,0.8120481927710843,0.40458015267175573,0.40611659859969995,0.5970921702116239,0,0,0,0,1,1.6619040966033936,,,,,,,,,,,0,0,0,0,0,
TabPFN,1.0,0.9849521203830369,0.9353330658105939,1.0,0.9293520240488616,0.9295820714718354,0.8674698795180723,0.6910112359550562,0.2804306728970365,0.6424822400561438,1,0,0,1,0,0.6025052070617676,0.997712784923513,0.9754433833560711,0.8830773219262429,0.9395664747827925,0.9847720715914566,0.9265011104381183,0.8614457831325302,0.6546546546546547,0.2973055778066593,0.6419013335770319,0,0,0,0,0,2.1161506175994873
XGBoost,0.9822727845324506,0.972640218878249,0.9394968784428939,0.8685940660592277,0.9029054514071516,0.9131031697960832,0.8566265060240964,0.6940874035989717,0.3228558470003576,0.6613008807080224,0,0,0,0,0,0.0778658390045166,0.9832850670075747,0.9699863574351979,0.936268979674872,0.8652107628478375,0.9558833572808576,0.9131031697960832,0.8566265060240964,0.6940874035989717,0.3228558470003576,0.6613008807080224,0,0,0,0,0,0.09789657592773438
