Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.99339207,0.959016393,0.937950938,0.911986213,0.774771844,0.914807302,0.847826087,0.787878788,0.36656077,0.528175427,0,0,0,0,0,8.158024549,0.991450904,0.959016393,0.941611234,0.899748856,1,0.914807302,0.847826087,0.787878788,0.36656077,0.528175427,0,0,0,0,1,10.18996501
AutoTabPFN,1,0.983606557,0.971817298,1,0.728738838,0.920892495,0.869565217,0.816326531,0.334298368,0.561539235,1,0,0,1,0,183.9743261,1,0.991803279,0.993962811,1,0.975974101,0.922695515,0.876811594,0.831683168,0.329812633,0.541177707,1,0,0,1,0,183.2995102
CatBoost,0.991434165,0.967213115,0.952380952,0.916651892,0.731953333,0.913004282,0.855072464,0.8,0.364695007,0.559073141,0,0,0,0,0,1.315140963,0.989496825,0.967213115,0.956097561,0.90421706,0.944700874,0.913004282,0.855072464,0.8,0.364749403,0.559092768,0,0,0,0,0,1.474491358
LightGBM,0.975281449,0.975409836,0.970873786,0.669036673,0.700137901,0.898129367,0.862318841,0.815533981,0.499671216,0.584478356,0,0,0,0,0,0.04446125,0.971665852,0.975409836,0.97029703,0.645250982,0.909403614,0.896551724,0.862318841,0.811881188,0.511138522,0.580793191,0,0,0,0,0,0.055068016
LogisticRegression,0.978707783,1,1,0.91393645,0.741897865,0.901284652,0.884057971,0.84,0.36577857,0.551579225,0,1,1,0,0,3.906858206,0.97679531,0.991803279,0.98989899,0.897163604,0.965407506,0.901284652,0.876811594,0.828282828,0.367617045,0.547101015,0,0,0,0,0,0.030823946
MLP,0.893294175,0.918032787,0.874635569,0.513011294,0.771925507,0.822627902,0.811594203,0.734693878,0.651639392,0.530122979,0,0,0,0,0,0.762533426,0.987298486,0.93442623,0.902439024,0.757275667,0.928548387,0.910975885,0.826086957,0.755102041,0.435525196,0.56881842,0,0,0,0,0,0.837219238
RandomForest,0.998286833,0.991803279,0.981836033,0.651256574,0.76535518,0.919314852,0.876811594,0.824742268,0.51331285,0.534673913,0,0,0,0,0,0.32806325,0.995847582,1,1,0.642317314,0.970871913,0.918864097,0.884057971,0.836734694,0.513473055,0.544021739,0,1,1,0,0,0.306942225
SVM,0.912383749,0.901639344,0.850340136,0.68949705,1,0.840207347,0.797101449,0.714285714,0.484843797,0.409215449,0,0,0,0,1,0.051942348,0.99914509,0.967213115,0.951219512,0.982493032,0.968067183,0.921906694,0.855072464,0.795918367,0.335689539,0.545597905,0,0,0,0,0,0.033116341
TabPFN,0.998531571,0.991803279,0.99009901,0.957380605,0.734120881,0.91954023,0.876811594,0.831683168,0.349180218,0.557422435,0,0,0,0,0,0.177926302,0.995359062,0.991803279,0.985667589,0.935375609,0.958346701,0.918413342,0.876811594,0.824742268,0.352599138,0.551131888,0,0,0,0,0,1.980480194
XGBoost,0.982378855,0.975409836,0.970873786,0.651958679,0.699852617,0.904665314,0.862318841,0.815533981,0.512760055,0.584716609,0,0,0,0,0,0.042871952,0.980459209,0.975409836,0.974662562,0.643210464,0.903301562,0.904665314,0.862318841,0.815533981,0.512760055,0.584716609,0,0,0,0,0,0.045308828
