,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.8674736676623173,0.9180327868852459,0.9512472514974599,0.8786512883559838,0.7698353760469522,0.6598899784740493,0.7466666666666667,0.8429752066115702,0.5495919789670763,0.19949482632180057,0,0,0,0,0,7.775116443634033,0.8657044242234077,0.9180327868852459,0.9512472514974599,0.8706511639795877,0.7698353760469522,0.6598899784740493,0.7466666666666667,0.8429752066115702,0.5495919789670763,0.19949482632180057,0,0,0,0,0,8.37582802772522
AutoTabPFN,1.0,0.9344262295081968,0.9659449541284403,1.0,0.780674539306786,0.7607031810571634,0.76,0.856,0.4828997003895364,0.19672496912380064,1,0,0,1,0,97.6726725101471,0.9962347034828994,0.9344262295081968,0.9659449541284403,0.9933135466650064,0.7933618847387273,0.7593877062903612,0.76,0.856,0.4817239207177596,0.1935789676755667,0,0,0,0,0,105.89939332008362
CatBoost,0.9429335010218517,1.0,1.0,0.956392902398511,0.7807292917924545,0.7172925137526907,0.8133333333333334,0.8861788617886179,0.5049176956233006,0.1967111728167249,0,1,1,0,0,0.85137939453125,0.9410103545654219,1.0,1.0,0.9476849402373144,0.7807292917924545,0.7172925137526907,0.8133333333333334,0.8861788617886179,0.5049176956233006,0.1967111728167249,0,1,1,0,0,0.8423500061035156
LightGBM,0.8476654614054394,0.8524590163934427,0.9066102093625029,0.7578415246914932,1.0,0.6448218129634059,0.6933333333333334,0.8034188034188035,0.6372040653039145,0.15357817464086476,0,0,0,0,1,0.036366939544677734,0.8459366175086289,0.8524590163934427,0.9066102093625029,0.7509413738176769,1.0,0.6448218129634059,0.6933333333333334,0.8034188034188035,0.6372040653039144,0.15357817464086476,0,0,0,0,1,0.03622317314147949
LogisticRegression,0.9834931614526019,0.9344262295081968,0.9697534403669724,0.9979415583463486,0.686540894353485,0.7481463764649606,0.76,0.859375,0.4838957716018274,0.22369850930073032,0,0,0,0,0,0.14797067642211914,0.98242861625353,0.9344262295081968,0.9697534403669724,0.9887948016217357,0.6861662212666017,0.7488639081559435,0.76,0.859375,0.48392537604033825,0.22382065727073122,0,0,0,0,0,0.021822214126586914
MLP,0.9756327621443169,0.8688524590163934,0.8985728848114168,0.7741581970242163,0.6107974748935864,0.7421669457067688,0.7066666666666667,0.7962962962962963,0.6237739292120819,0.25143878446390316,0,0,0,0,0,0.13630199432373047,1.0,0.959016393442623,0.978888029180944,1.0,0.7678261676109733,0.7622578330542932,0.78,0.8674698795180723,0.47850289620153014,0.20001685422979312,1,0,0,1,0,0.3003256320953369
RandomForest,0.861342556201855,0.8934426229508197,0.9348585466968639,0.5081174136274397,0.9342584064665738,0.6552260224826596,0.7266666666666667,0.8284518828451883,0.9503703030803953,0.16438511398758235,0,0,0,0,0,0.28432226181030273,0.8511139002196424,0.8934426229508197,0.9348585466968639,0.499938786541524,0.9291056609390596,0.6487682372638125,0.7266666666666667,0.8284518828451883,0.9571229700174234,0.165296780654249,0,0,0,0,0,0.2901790142059326
SVM,0.9146360635120263,0.9344262295081968,0.9733874921212969,0.8690241208290871,0.6570794661370014,0.6957665630232002,0.76,0.8625954198473282,0.5556804337362108,0.23372846444853543,0,0,0,0,0,0.055306434631347656,0.8895513021650455,0.9262295081967212,0.963411538601008,0.9101472859541756,0.739084037212751,0.6780674479789524,0.7533333333333333,0.8537549407114624,0.5257422656596505,0.20779528024991847,0,0,0,0,0,0.039258718490600586
TabPFN,0.9850652413142587,0.9344262295081968,0.9659449541284403,0.9878156235359445,0.8771187483400582,0.7493422626165989,0.76,0.856,0.488856107236863,0.17509393674631912,0,0,0,0,0,0.2046220302581787,0.9835268277376844,0.9262295081967212,0.9620965678570123,0.9765913797253901,0.8868581355878625,0.7497010284620904,0.7533333333333333,0.852589641434263,0.4899724758333229,0.17317107266436021,0,0,0,0,0,1.987454891204834
XGBoost,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,
