Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.867473668,0.918032787,0.951247251,0.878651288,0.769835376,0.659889978,0.746666667,0.842975207,0.549591979,0.199494826,0,0,0,0,0,7.775116444,0.865704424,0.918032787,0.951247251,0.870651164,0.769835376,0.659889978,0.746666667,0.842975207,0.549591979,0.199494826,0,0,0,0,0,8.375828028
AutoTabPFN,1,0.93442623,0.965944954,1,0.780674539,0.760703181,0.76,0.856,0.4828997,0.196724969,1,0,0,1,0,97.67267251,0.996234703,0.93442623,0.965944954,0.993313547,0.793361885,0.759387706,0.76,0.856,0.481723921,0.193578968,0,0,0,0,0,105.8993933
CatBoost,0.942933501,1,1,0.956392902,0.780729292,0.717292514,0.813333333,0.886178862,0.504917696,0.196711173,0,1,1,0,0,0.851379395,0.941010355,1,1,0.94768494,0.780729292,0.717292514,0.813333333,0.886178862,0.504917696,0.196711173,0,1,1,0,0,0.842350006
LightGBM,0.847665461,0.852459016,0.906610209,0.757841525,1,0.644821813,0.693333333,0.803418803,0.637204065,0.153578175,0,0,0,0,1,0.03636694,0.845936618,0.852459016,0.906610209,0.750941374,1,0.644821813,0.693333333,0.803418803,0.637204065,0.153578175,0,0,0,0,1,0.036223173
LogisticRegression,0.983493161,0.93442623,0.96975344,0.997941558,0.686540894,0.748146376,0.76,0.859375,0.483895772,0.223698509,0,0,0,0,0,0.147970676,0.982428616,0.93442623,0.96975344,0.988794802,0.686166221,0.748863908,0.76,0.859375,0.483925376,0.223820657,0,0,0,0,0,0.021822214
MLP,0.975632762,0.868852459,0.898572885,0.774158197,0.610797475,0.742166946,0.706666667,0.796296296,0.623773929,0.251438784,0,0,0,0,0,0.136301994,1,0.959016393,0.978888029,1,0.767826168,0.762257833,0.78,0.86746988,0.478502896,0.200016854,1,0,0,1,0,0.300325632
RandomForest,0.861342556,0.893442623,0.934858547,0.508117414,0.934258406,0.655226022,0.726666667,0.828451883,0.950370303,0.164385114,0,0,0,0,0,0.284322262,0.8511139,0.893442623,0.934858547,0.499938787,0.929105661,0.648768237,0.726666667,0.828451883,0.95712297,0.165296781,0,0,0,0,0,0.290179014
SVM,0.914636064,0.93442623,0.973387492,0.869024121,0.657079466,0.695766563,0.76,0.86259542,0.555680434,0.233728464,0,0,0,0,0,0.055306435,0.889551302,0.926229508,0.963411539,0.910147286,0.739084037,0.678067448,0.753333333,0.853754941,0.525742266,0.20779528,0,0,0,0,0,0.039258718
TabPFN,0.985065241,0.93442623,0.965944954,0.987815624,0.877118748,0.749342263,0.76,0.856,0.488856107,0.175093937,0,0,0,0,0,0.20462203,0.983526828,0.926229508,0.962096568,0.97659138,0.886858136,0.749701028,0.753333333,0.852589641,0.489972476,0.173171073,0,0,0,0,0,1.987454891
XGBoost,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,
