Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.991033322,0.991778006,0.960189086,0.832122798,0.871958631,0.91288363,0.965,0.86381323,0.145727563,0.82604014,0,0,0,0,0,35.03121471,0.980490277,0.993833505,0.966582824,0.826287529,0.884126298,0.905363514,0.967,0.869565217,0.146236003,0.83031929,0,0,0,0,0,36.55277109
AutoTabPFN,0.998698312,1,1,0.997898718,0.861217117,0.919944184,0.973,0.899628253,0.121518572,0.836342909,0,1,1,0,0,873.0113397,0.996203929,1,1,0.952168096,0.874262811,0.919873161,0.973,0.899628253,0.126902998,0.839687002,0,1,1,0,0,868.0721972
CatBoost,0.995967943,0.987667009,0.944190944,0.871116958,0.871875098,0.917429123,0.961,0.849420849,0.139204301,0.826119281,0,0,0,0,0,3.181860924,0.993566135,0.987667009,0.944190944,0.868746582,0.888570512,0.917437479,0.961,0.849420849,0.139088876,0.82616642,0,0,0,0,0,3.009304047
LightGBM,0.992784024,0.988694758,0.945272337,0.792229803,0.85585535,0.914496278,0.962,0.850393701,0.153065723,0.841582435,0,0,0,0,0,0.132084131,1,0.98663926,0.933719008,0.813883926,0.869858794,0.92337837,0.96,0.84,0.148464642,0.843938262,1,0,0,0,0,0.146177053
LogisticRegression,0.863168589,0.896197328,0.378163074,0.373092843,0.984798166,0.795101898,0.872,0.340206186,0.325021585,0.731391319,0,0,0,0,0,4.267529011,0.897248188,0.895169579,0.383689223,0.388704025,1,0.82849957,0.871,0.345177665,0.310861164,0.734107119,0,0,0,0,1,0.039285421
MLP,0.810112344,0.89311408,0.207124891,0.241823599,0.870054768,0.746229497,0.869,0.186335404,0.501453241,0.82784769,0,0,0,0,0,0.703730345,0.959315531,0.954779034,0.79714201,0.480102894,0.899106302,0.885811212,0.929,0.717131474,0.251681436,0.816485346,0,0,0,0,0,5.53092742
RandomForest,0.999741477,0.98663926,0.936519815,0.612420868,0.886086126,0.920905088,0.96,0.842519685,0.198006361,0.81287,0,0,0,0,0,1.924997807,0.997782986,0.98663926,0.936519815,0.611082826,0.903255205,0.921331228,0.96,0.842519685,0.197735856,0.812735,0,0,0,0,0,1.971502542
SVM,0.772685422,0.884892086,0,0.338439248,1,0.711753942,0.861,0,0.358301314,0.72027283,0,0,0,0,1,1.338911772,0.988358414,0.950668037,0.730895505,0.579522407,0.924539194,0.912628782,0.925,0.657534247,0.208504424,0.794024876,0,0,0,0,0,1.116344929
TabPFN,1,0.998972251,0.995436043,1,0.867114519,0.921143225,0.972,0.895522388,0.121263227,0.830654791,1,0,0,1,0,0.512758255,0.996977622,0.997944502,0.989001665,1,0.879006801,0.920587572,0.971,0.88973384,0.120832986,0.835155221,0,0,0,1,0,2.201967478
XGBoost,0.994398661,0.991778006,0.960189086,0.714682259,0.852566995,0.915983589,0.965,0.86381323,0.169674321,0.844828423,0,0,0,0,0,0.128692389,0.991991602,0.991778006,0.960189086,0.712146568,0.868942261,0.915983589,0.965,0.86381323,0.169674321,0.844828423,0,0,0,0,0,0.133509874
