Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.98089135,0.934065934,0.936217399,0.948389868,0.636719008,0.780511944,0.576271186,0.55644068,0.878483579,0.065192554,0,0,0,0,0,14.15686727,0.965159678,0.949152542,0.957516458,0.953213557,1,0.768101054,0.569491525,0.553968254,0.875119231,0.061448954,0,0,0,0,1,14.54800701
AutoTabPFN,0.988622021,1,1,0.988506389,0.71939157,0.786663371,0.616949153,0.59434986,0.84283211,0.057700618,0,1,1,0,0,124.4379003,1,0.983050847,0.992194388,0.998974981,0.882848542,0.795827956,0.589830508,0.574031066,0.835031439,0.069603053,1,0,0,0,0,128.1684687
CatBoost,0.934325961,0.93956044,0.930402064,0.824362355,0.291390827,0.743459071,0.579661017,0.552984336,1.010653774,0.142452453,0,0,0,0,0,1.083666325,0.934195721,0.966101695,0.955815787,0.825382082,0.431364662,0.743459071,0.579661017,0.552984336,1.010653774,0.142452453,0,0,0,0,0,1.137018204
LightGBM,0.950771532,0.972527473,0.973411484,0.861199308,0.529691259,0.756545092,0.6,0.578546979,0.967424053,0.078365156,0,0,0,0,0,0.172011375,0.950639,1,1,0.862264602,0.784136183,0.756545092,0.6,0.578546979,0.967424053,0.078365156,0,1,1,0,0,0.177319765
LogisticRegression,0.922383865,0.901098901,0.884269152,0.895362695,0.637039052,0.733956542,0.555932203,0.525565247,0.930511099,0.065159801,0,0,0,0,0,0.224302769,0.922016114,0.920903955,0.898689499,0.896196234,0.950068114,0.733766199,0.552542373,0.519934094,0.930795605,0.064678472,0,0,0,0,0,0.013204336
MLP,0.980099073,0.972527473,0.953820496,0.969222568,0.461003545,0.779881516,0.6,0.566903078,0.859601244,0.090041256,0,0,0,0,0,0.85022974,0.962643599,0.960451977,0.940660769,0.940131131,0.932867453,0.766098688,0.576271186,0.544216446,0.887296983,0.065871045,0,0,0,0,0,1.692496777
RandomForest,0.916309678,0.868131868,0.844875359,0.775547408,0.361020127,0.729123209,0.53559322,0.502151551,1.07426692,0.114977906,0,0,0,0,0,0.432208061,0.913628715,0.881355932,0.852042542,0.774632705,0.530099536,0.727091273,0.528813559,0.492946639,1.076865862,0.115919653,0,0,0,0,0,0.440092325
SVM,0.934226677,0.879120879,0.689498895,0.899152109,0.691419406,0.74338007,0.542372881,0.409803572,0.926589525,0.060034962,0,0,0,0,0,0.263669968,0.949914162,0.971751412,0.938091169,0.914169404,0.708227056,0.755968246,0.583050847,0.542729812,0.912495553,0.086764483,0,0,0,0,0,0.25994873
TabPFN,1,0.961538462,0.958691609,1,1,0.795717022,0.593220339,0.569798223,0.833144925,0.041509338,1,0,0,1,1,0.206623793,0.997010764,0.994350282,0.990497798,1,0.947620158,0.793449038,0.596610169,0.573049509,0.834175516,0.064845554,0,0,0,1,0,1.784437656
XGBoost,0.94757919,0.950549451,0.947903311,0.805471289,0.310894484,0.754004891,0.586440678,0.5633862,1.034357074,0.13351584,0,0,0,0,0,0.104177237,0.947447103,0.97740113,0.973795077,0.806467647,0.460237185,0.754004891,0.586440678,0.5633862,1.034357074,0.13351584,0,0,0,0,0,0.111707211
