Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,1,0.975308642,0.989990901,0.961574161,0.204607866,0.828585166,0.79,0.866242038,0.468236289,0.078417903,1,0,0,0,0,12.235461,1,0.975308642,0.989990901,0.961574161,1,0.828585166,0.79,0.866242038,0.468236289,0.078417903,1,0,0,0,1,13.57599115
AutoTabPFN,0.973596402,0.962962963,0.976348155,0.942258026,0.15115593,0.806707537,0.78,0.854304636,0.477835056,0.106148133,0,0,0,0,0,279.7723825,0.973596402,0.962962963,0.976348155,0.942258026,0.738759133,0.806707537,0.78,0.854304636,0.477835056,0.106148133,0,0,0,0,0,279.7023227
CatBoost,0.992020891,1,1,1,0.115465722,0.821973795,0.81,0.875,0.450243917,0.138958294,0,1,1,1,0,1.643021107,0.992020891,1,1,1,0.564326895,0.821973795,0.81,0.875,0.450243917,0.138958294,0,1,1,1,0,1.66363883
LightGBM,0.99753373,0.987654321,0.987366375,0.928877695,0.083469653,0.826541652,0.8,0.863945578,0.484718192,0.192224588,0,0,0,0,0,0.063309669,0.978674017,0.987654321,0.987366375,0.884853838,0.394960762,0.810914773,0.8,0.863945578,0.508834225,0.198546058,0,0,0,0,0,0.078644991
LogisticRegression,0.975772523,0.975308642,0.980694981,0.955638777,0.113134161,0.808510638,0.79,0.858108108,0.471144461,0.141822059,0,0,0,0,0,4.664556265,0.986217902,0.981481481,0.98401937,0.971995222,0.536769182,0.817165525,0.795,0.861016949,0.463216183,0.146092408,0,0,0,0,0,0.103627205
MLP,0.821267953,0.913580247,0.959435626,0.738613256,0.118594338,0.680490444,0.74,0.839506173,0.609580066,0.13529246,0,0,0,0,0,0.121271372,0.972435804,0.962962963,0.965794769,0.694921867,0.355523956,0.805745883,0.78,0.845070423,0.647905813,0.220569954,0,0,0,0,0,1.213401079
RandomForest,0.992383578,0.981481481,0.991215904,0.954270465,0.117330309,0.822274312,0.795,0.867313916,0.471820027,0.13675,0,0,0,0,0,0.400853634,0.992673727,0.981481481,0.991215904,0.954429284,0.60741985,0.822514725,0.795,0.867313916,0.471741515,0.1291,0,0,0,0,0,0.371533871
SVM,0.616132308,0.882716049,0.949554896,0.753039712,1,0.510518091,0.715,0.830860534,0.597901956,0.01604492,0,0,0,0,1,0.138740063,0.973451327,0.981481481,0.990228013,0.961905998,0.638539643,0.80658733,0.795,0.866449511,0.468074758,0.122808197,0,0,0,0,0,0.133238792
TabPFN,0.999274626,0.99382716,0.99378882,0.990325451,0.133494092,0.827984133,0.805,0.869565217,0.454642377,0.120191984,0,0,0,0,0,0.383545637,0.999927463,0.981481481,0.985088985,0.989893446,0.61136845,0.828525063,0.795,0.861952862,0.45484079,0.128266191,0,0,0,0,0,2.561815023
XGBoost,0.990279994,0.956790123,0.968523002,0.830550663,0.082654045,0.820531314,0.775,0.847457627,0.542102893,0.194121409,0,0,0,0,0,0.063531637,0.990279994,0.956790123,0.968523002,0.830550663,0.403963185,0.820531314,0.775,0.847457627,0.542102893,0.194121409,0,0,0,0,0,0.063366413
