Model,Raw_Mean Normalized_ROC_AUC,Raw_Mean Normalized_Accuracy,Raw_Mean Normalized_F1,Raw_Mean Normalized_CE,Raw_Mean Normalized_ECE,Raw_Mean_ROC_AUC,Raw_Mean_Accuracy,Raw_Mean_F1,Raw_Mean_CE,Raw_Mean_ECE,Raw_Wins_ROC_AUC,Raw_Wins_Accuracy,Raw_Wins_F1,Raw_Wins_CE,Raw_Wins_ECE,Raw_Mean_Time (s),Processed_Mean Normalized_ROC_AUC,Processed_Mean Normalized_Accuracy,Processed_Mean Normalized_F1,Processed_Mean Normalized_CE,Processed_Mean Normalized_ECE,Processed_Mean_ROC_AUC,Processed_Mean_Accuracy,Processed_Mean_F1,Processed_Mean_CE,Processed_Mean_ECE,Processed_Wins_ROC_AUC,Processed_Wins_Accuracy,Processed_Wins_F1,Processed_Wins_CE,Processed_Wins_ECE,Processed_Mean_Time (s)
AutoGluon,0.995716733,0.97029703,0.970869565,0.126798039,0.521279659,0.995716733,0.956097561,0.956521739,0.12787605,0.484975606,0,0,0,0,0,15.50835085,0.996002284,0.97029703,0.970869565,0.155220669,0.750583628,0.996002284,0.956097561,0.956521739,0.128102666,0.485382111,0,0,0,0,0,14.60982466
AutoTabPFN,1,1,1,0.221663652,0.500572045,1,0.985365854,0.985221675,0.07314881,0.505038028,1,1,1,0,0,189.27718,1,1,1,0.881503181,0.722503919,1,0.985365854,0.985221675,0.02255713,0.504246214,1,1,1,0,0,189.9273715
CatBoost,0.995716733,1,1,0.197139096,0.518611013,0.995716733,0.985365854,0.985221675,0.08224869,0.487471172,0,1,1,0,0,1.263947964,0.995716733,1,1,0.241756818,0.747366996,0.995716733,0.985365854,0.985221675,0.08224869,0.487471172,0,1,1,0,0,1.094043732
LightGBM,0.990576813,1,1,0.195066364,0.508315524,0.990576813,0.985365854,0.985221675,0.083122646,0.497344477,0,1,1,0,0,0.073475361,1,1,1,0.369287199,0.733405203,1,0.985365854,0.985221675,0.053844762,0.496751134,1,1,1,0,0,0.051207781
LogisticRegression,0.876546735,0.806930693,0.822972973,0.035729403,0.672423822,0.876546735,0.795121951,0.810810811,0.453812012,0.375965143,0,0,0,0,0,4.003703833,0.879021512,0.806930693,0.822972973,0.043893681,1,0.879021512,0.795121951,0.810810811,0.453007838,0.364319866,0,0,0,0,1,0.039181948
MLP,0.881781839,0.762376238,0.7192,0.031248693,0.606937584,0.881781839,0.751219512,0.708571429,0.51888353,0.41653034,0,0,0,0,0,0.346467257,0.992670855,0.96039604,0.962085308,0.160089604,0.80580391,0.992670855,0.946341463,0.947867299,0.124206575,0.452119754,0,0,0,0,0,1.072803497
RandomForest,1,1,1,0.247038791,0.505344676,1,0.985365854,0.985221675,0.065635167,0.500268293,1,1,1,0,0,0.283799648,1,1,1,0.299366664,0.728639731,1,0.985365854,0.985221675,0.066420827,0.5,1,1,1,0,0,0.281734705
SVM,0.707119741,0.693069307,0.716470588,0.025994981,1,0.707119741,0.682926829,0.705882353,0.623752426,0.252807918,0,0,0,0,1,0.098511457,0.960308395,0.900990099,0.907419355,0.079093472,0.860180711,0.960308395,0.887804878,0.894009217,0.251401045,0.423538753,0,0,0,0,0,0.058388233
TabPFN,1,1,1,1,0.498495613,1,0.985365854,0.985221675,0.016214432,0.507141712,1,1,1,1,0,0.214110613,1,1,1,1,0.720571538,1,0.985365854,0.985221675,0.019884182,0.505598468,1,1,1,1,0,1.928117752
XGBoost,0.989434609,1,1,0.193698045,0.508964732,0.989434609,0.985365854,0.985221675,0.08370984,0.496710091,0,1,1,0,0,0.03978157,0.989434609,1,1,0.237536968,0.733465803,0.989434609,0.985365854,0.985221675,0.08370984,0.496710091,0,1,1,0,0,0.034597635
