Model,Fraction,TrainSamples,CumulativeFitTimeSec,Accuracy
LogisticRegression,0.05,23,0.027140379,0.947368421
LogisticRegression,0.1,46,0.037050486,0.964912281
LogisticRegression,0.2,91,0.046895981,0.956140351
LogisticRegression,0.4,182,0.05800128,0.98245614
LogisticRegression,0.6,273,0.243103266,0.98245614
LogisticRegression,0.8,364,0.451226473,0.98245614
LogisticRegression,1,455,0.768850088,0.98245614
RandomForest,0.05,23,0.598225594,0.938596491
RandomForest,0.1,46,0.968782902,0.938596491
RandomForest,0.2,91,1.351685286,0.938596491
RandomForest,0.4,182,1.76857233,0.938596491
RandomForest,0.6,273,2.255812645,0.956140351
RandomForest,0.8,364,2.812684536,0.938596491
RandomForest,1,455,3.471944332,0.947368421
SVC,0.05,23,0.006422997,0.877192982
SVC,0.1,46,0.012588739,0.947368421
SVC,0.2,91,0.020667791,0.964912281
SVC,0.4,182,0.032285452,0.973684211
SVC,0.6,273,0.048172474,0.98245614
SVC,0.8,364,0.06657052,0.964912281
SVC,1,455,0.089837551,0.98245614
MLP,0.05,23,0.117486715,0.894736842
MLP,0.1,46,0.2348876,0.956140351
MLP,0.2,91,0.417762518,0.938596491
MLP,0.4,182,0.646639824,0.964912281
MLP,0.6,273,1.076493979,0.964912281
MLP,0.8,364,1.501469851,0.956140351
MLP,1,455,2.223069906,0.956140351
CatBoost,0.05,23,0.613898277,0.903508772
CatBoost,0.1,46,1.477231026,0.938596491
CatBoost,0.2,91,2.606266022,0.929824561
CatBoost,0.4,182,4.457751036,0.956140351
CatBoost,0.6,273,7.03480792,0.956140351
CatBoost,0.8,364,9.016794443,0.947368421
CatBoost,1,455,11.09715533,0.956140351
LightGBM,0.05,23,0.021541357,0.631578947
LightGBM,0.1,46,0.056816339,0.912280702
LightGBM,0.2,91,0.103505611,0.903508772
LightGBM,0.4,182,0.206305265,0.964912281
LightGBM,0.6,273,0.35392046,0.956140351
LightGBM,0.8,364,0.564315557,0.956140351
LightGBM,1,455,0.865440369,0.956140351
TabPFN,0.05,23,1.389563084,0.947368421
TabPFN,0.1,46,1.590689421,0.964912281
TabPFN,0.2,91,1.765064001,0.947368421
TabPFN,0.4,182,1.93839097,0.964912281
TabPFN,0.6,273,2.112761974,0.964912281
TabPFN,0.8,364,2.292514801,0.973684211
TabPFN,1,455,2.501281261,0.964912281
AutoTabPFN,0.05,23,115.9998488,0.938596491
AutoTabPFN,0.1,46,233.6874423,0.964912281
AutoTabPFN,0.2,91,338.3458993,0.956140351
AutoTabPFN,0.4,182,473.1580932,0.98245614
AutoTabPFN,0.6,273,592.58146,0.947368421
AutoTabPFN,0.8,364,729.490185,0.964912281
AutoTabPFN,1,455,850.7415957,0.956140351
