Model,Fraction,TrainSamples,CumulativeFitTimeSec,Accuracy
LogisticRegression,0.05,23,0.027140378952026367,0.9473684210526315
LogisticRegression,0.1,46,0.037050485610961914,0.9649122807017544
LogisticRegression,0.2,91,0.04689598083496094,0.956140350877193
LogisticRegression,0.4,182,0.05800127983093262,0.9824561403508771
LogisticRegression,0.6,273,0.2431032657623291,0.9824561403508771
LogisticRegression,0.8,364,0.45122647285461426,0.9824561403508771
LogisticRegression,1.0,455,0.7688500881195068,0.9824561403508771
RandomForest,0.05,23,0.5982255935668945,0.9385964912280702
RandomForest,0.1,46,0.968782901763916,0.9385964912280702
RandomForest,0.2,91,1.3516852855682373,0.9385964912280702
RandomForest,0.4,182,1.7685723304748535,0.9385964912280702
RandomForest,0.6,273,2.255812644958496,0.956140350877193
RandomForest,0.8,364,2.8126845359802246,0.9385964912280702
RandomForest,1.0,455,3.4719443321228027,0.9473684210526315
SVC,0.05,23,0.006422996520996094,0.8771929824561403
SVC,0.1,46,0.012588739395141602,0.9473684210526315
SVC,0.2,91,0.02066779136657715,0.9649122807017544
SVC,0.4,182,0.032285451889038086,0.9736842105263158
SVC,0.6,273,0.0481724739074707,0.9824561403508771
SVC,0.8,364,0.06657052040100098,0.9649122807017544
SVC,1.0,455,0.08983755111694336,0.9824561403508771
MLP,0.05,23,0.11748671531677246,0.8947368421052632
MLP,0.1,46,0.23488759994506836,0.956140350877193
MLP,0.2,91,0.41776251792907715,0.9385964912280702
MLP,0.4,182,0.6466398239135742,0.9649122807017544
MLP,0.6,273,1.0764939785003662,0.9649122807017544
MLP,0.8,364,1.5014698505401611,0.956140350877193
MLP,1.0,455,2.223069906234741,0.956140350877193
CatBoost,0.05,23,0.6138982772827148,0.9035087719298246
CatBoost,0.1,46,1.4772310256958008,0.9385964912280702
CatBoost,0.2,91,2.6062660217285156,0.9298245614035088
CatBoost,0.4,182,4.457751035690308,0.956140350877193
CatBoost,0.6,273,7.034807920455933,0.956140350877193
CatBoost,0.8,364,9.016794443130493,0.9473684210526315
CatBoost,1.0,455,11.097155332565308,0.956140350877193
LightGBM,0.05,23,0.021541357040405273,0.631578947368421
LightGBM,0.1,46,0.05681633949279785,0.9122807017543859
LightGBM,0.2,91,0.10350561141967773,0.9035087719298246
LightGBM,0.4,182,0.20630526542663574,0.9649122807017544
LightGBM,0.6,273,0.35392045974731445,0.956140350877193
LightGBM,0.8,364,0.5643155574798584,0.956140350877193
LightGBM,1.0,455,0.8654403686523438,0.956140350877193
TabPFN,0.05,23,1.3895630836486816,0.9473684210526315
TabPFN,0.1,46,1.5906894207000732,0.9649122807017544
TabPFN,0.2,91,1.765064001083374,0.9473684210526315
TabPFN,0.4,182,1.9383909702301025,0.9649122807017544
TabPFN,0.6,273,2.112761974334717,0.9649122807017544
TabPFN,0.8,364,2.2925148010253906,0.9736842105263158
TabPFN,1.0,455,2.501281261444092,0.9649122807017544
AutoTabPFN,0.05,23,115.99984884262085,0.9385964912280702
AutoTabPFN,0.1,46,233.68744230270386,0.9649122807017544
AutoTabPFN,0.2,91,338.3458993434906,0.956140350877193
AutoTabPFN,0.4,182,473.15809321403503,0.9824561403508771
AutoTabPFN,0.6,273,592.5814599990845,0.9473684210526315
AutoTabPFN,0.8,364,729.4901850223541,0.9649122807017544
AutoTabPFN,1.0,455,850.7415957450867,0.956140350877193
