Models,Normalized Mean,,,,,,Mean,,,,,,Wins,,,,,,Fit Time,
,raw,,,processed,,,Raw,,,Processed,,,Processed,,,Raw,,,Raw,Processed
,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,RMSE,R2,MAE,MAE,R2,RMSE,MAE,R2,RMSE,,
TabPFN,0.503 ± 0.26,0.998 ± 0.00,0.447 ± 0.27,0.503 ± 0.27,0.995 ± 0.00,0.448 ± 0.27,190764.716 ± 479087.59,0.857 ± 0.16,137696.231 ± 344676.83,192565.757 ± 483872.28,0.856 ± 0.16,139374.022 ± 349177.09,3,3,3,2,5,5,0.362 ± 0.06,0.331 ± 0.05
AutoTabPFN,0.508 ± 0.28,0.987 ± 0.02,0.447 ± 0.28,0.502 ± 0.27,0.993 ± 0.01,0.451 ± 0.27,202523.870 ± 510321.87,0.850 ± 0.17,146508.178 ± 368112.14,197121.538 ± 495526.22,0.854 ± 0.16,142725.075 ± 357639.38,2,2,2,3,0,0,192.868 ± 127.52,180.366 ± 116.19
AutoGluon,0.525 ± 0.29,0.971 ± 0.03,0.483 ± 0.30,0.527 ± 0.29,0.969 ± 0.04,0.484 ± 0.31,202094.871 ± 509039.36,0.839 ± 0.18,147691.375 ± 371006.00,205592.576 ± 518283.96,0.837 ± 0.18,151525.307 ± 381144.32,1,1,1,1,1,1,69.867 ± 68.54,65.581 ± 64.11
XGBoost,0.548 ± 0.30,0.950 ± 0.05,0.509 ± 0.30,0.548 ± 0.30,0.950 ± 0.05,0.509 ± 0.30,213013.913 ± 535245.90,0.823 ± 0.19,159011.251 ± 398754.25,213013.913 ± 535245.90,0.823 ± 0.19,159011.251 ± 398754.25,0,0,0,0,0,0,0.108 ± 0.05,0.068 ± 0.04
LightGBM,0.587 ± 0.24,0.953 ± 0.03,0.554 ± 0.25,0.590 ± 0.24,0.948 ± 0.04,0.558 ± 0.25,207502.022 ± 521941.01,0.822 ± 0.17,153525.511 ± 384654.26,206346.276 ± 518565.60,0.819 ± 0.18,153584.547 ± 384398.35,0,0,0,0,0,0,0.098 ± 0.03,0.051 ± 0.02
RandomForest,0.592 ± 0.26,0.953 ± 0.04,0.555 ± 0.27,0.593 ± 0.26,0.953 ± 0.04,0.555 ± 0.27,208532.054 ± 526368.84,0.823 ± 0.17,152865.624 ± 385047.33,208876.753 ± 527241.84,0.822 ± 0.17,152711.619 ± 384668.78,1,1,1,1,1,1,0.347 ± 0.18,0.336 ± 0.18
GradientBoosting,0.684 ± 0.17,0.932 ± 0.06,0.672 ± 0.18,0.684 ± 0.17,0.931 ± 0.06,0.673 ± 0.18,194579.498 ± 488740.73,0.799 ± 0.15,144352.920 ± 361837.95,194603.415 ± 488732.91,0.798 ± 0.15,144392.229 ± 361825.33,0,0,0,0,0,0,0.129 ± 0.07,0.130 ± 0.07
LinearRegression,1.196 ± 0.48,0.673 ± 0.19,1.246 ± 0.61,1.196 ± 0.48,0.673 ± 0.19,1.246 ± 0.61,203180.843 ± 498268.12,0.559 ± 0.11,150102.733 ± 366566.59,203180.843 ± 498268.12,0.559 ± 0.11,150102.733 ± 366566.59,0,0,0,0,0,0,0.006 ± 0.00,0.002 ± 0.00
Ridge,1.214 ± 0.48,0.659 ± 0.20,1.269 ± 0.61,1.196 ± 0.48,0.674 ± 0.19,1.246 ± 0.61,203312.597 ± 498619.30,0.545 ± 0.11,150165.274 ± 366726.81,203210.670 ± 498339.90,0.559 ± 0.11,150077.563 ± 366502.18,0,0,0,0,0,0,0.007 ± 0.00,0.002 ± 0.00
SVR,1.800 ± 0.65,-0.016 ± 0.19,1.737 ± 0.56,1.494 ± 0.77,0.236 ± 0.47,1.406 ± 0.61,360301.262 ± 883340.06,-0.011 ± 0.18,268632.349 ± 660568.78,360297.060 ± 883342.80,0.233 ± 0.45,268625.995 ± 660571.59,0,0,0,0,0,0,0.046 ± 0.04,0.045 ± 0.04
MLP,3.971 ± 3.42,-8.954 ± 13.16,4.283 ± 3.71,2.039 ± 1.29,-2.347 ± 4.36,2.221 ± 1.55,417733.094 ± 925214.08,-8.641 ± 12.90,335575.245 ± 722872.95,848855.569 ± 2050655.45,-1.689 ± 3.54,776265.608 ± 1870690.16,0,0,0,0,0,0,1.528 ± 1.89,3.644 ± 1.83
