Model,MAE,RMSE,R2,FitTime
LinearRegression-Raw,979679.6912959901,1331071.4167895103,0.6494754192267804,0.007108926773071289
LinearRegression-Processed,979679.6912959907,1331071.4167895124,0.6494754192267793,0.0018639564514160156
RandomForest-Raw,1025289.6821100918,1401263.0789821919,0.6115321143409216,0.1948387622833252
RandomForest-Processed,1024279.1775229357,1403585.736939922,0.6102432402912983,0.1901402473449707
GradientBoosting-Raw,964058.8730464154,1301871.871671099,0.6646855642239725,0.07909131050109863
GradientBoosting-Processed,964058.8730464154,1301871.871671099,0.6646855642239725,0.07941126823425293
XGBoost-Raw,1062316.125,1425624.25,0.597907543182373,0.0563349723815918
XGBoost-Processed,1062316.125,1425624.25,0.597907543182373,0.04997849464416504
LightGBM-Raw,1024869.5399474635,1390040.378411888,0.6177296665315848,0.039969682693481445
LightGBM-Processed,1024309.2934849388,1381195.1797124993,0.6225791647005093,0.03553891181945801
Ridge-Raw,980105.6394817505,1332000.7201472821,0.6489858025515297,0.008036136627197266
Ridge-Processed,979508.3189731662,1331263.113787277,0.6493744489144322,0.0015294551849365234
SVR-Raw,1763890.2388523002,2359646.597603149,-0.10156389053848902,0.011434078216552734
SVR-Processed,1763889.461626673,2359647.7903070115,-0.10156500412883829,0.009809255599975586
MLP-Raw,1939397.2372222077,2484423.2640151405,-0.22114416338855625,1.6466171741485596
MLP-Processed,5003526.658308605,5483922.131968477,-4.949744584349646,1.9751224517822266
TabPFN-Raw,918452.0625,1276154.625,0.677802324295044,0.45519208908081055
TabPFN-Processed,930352.3125,1288816.75,0.6713768243789673,0.3719618320465088
AutoTabPFN-Raw,974296.9375,1325942.875,0.6521713733673096,158.4544267654419
AutoTabPFN-Processed,973631.875,1338175.875,0.6457236409187317,151.66634678840637
AutoGluon-Raw,988201.375,1355446.5,0.6365200281143188,10.582595825195312
AutoGluon-Processed,1015050.25,1379926.875,0.6232720613479614,8.571855068206787
